设置,选项名称,值
选手信息,nick,gokushima
选手信息,Name,Erkhan Bagynanov
选手信息,Birthday,N/A
选手信息,Country,Russia
选手信息,Team,forZe
鼠标,model,Logitech G Pro X Superlight Black
鼠标,DPI,800
鼠标,Sensitivity,1.7
鼠标,eDPI,1360
鼠标,Zoom Sensitivity,1.3
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Color,4
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-2
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1728x1080
视频设置,Aspect Ratio,16:10
视频设置,Scaling Mode,Stretched
视频设置,Brightness,60%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,CMAA2
视频设置,Global Shadow Quality,Medium
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Low
视频设置,Ambient Occlusion,Disabled
视频设置,High Dynamic Range,Quality
视频设置,FidelityFX Super Resolution,Disabled (Highest Quality)
视频设置,NVIDIA Reflex Low Latency,Disabled
界面 大小,HUD Scale,1
界面 大小,HUD Color,Yellow
雷达,Radar Centers The Player,No
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.3
展示皮肤,skins,"['★ Butterfly Knife | Stained (Well-Worn)', 'M4A1-S | Golden Coil (Well-Worn)', 'AWP | Graphite (Factory New)', 'AK-47 | Nightwish (Well-Worn)', 'StatTrak™ Glock-18 | Water Elemental (Battle-Scarred)', 'USP-S | Whiteout (Minimal Wear)', 'StatTrak™ Desert Eagle | Conspiracy (Factory New)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,Logitech G Pro X Superlight Black
外设,Keyboard,Logitech G715
外设,Headset,HyperX Cloud II
外设,Mousepad,Artisan FX Hien XSoft Wine Red
