设置,选项名称,值
选手信息,nick,ultimate
选手信息,Name,Roland Tomkowiak
选手信息,Birthday,N/A
选手信息,Country,Poland
选手信息,Team,Free Agent
鼠标,model,Razer Viper Ultimate
鼠标,DPI,400
鼠标,Sensitivity,2.1
鼠标,eDPI,840
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Style,4
准星设置,Follow Recoil,Unknown
准星设置,Dot,1
准星设置,Length,0
准星设置,Thickness,1
准星设置,Gap,-2
准星设置,Outline,0
准星设置,Outlinethickness,Unknown
准星设置,Color,1
准星设置,Red,255
准星设置,Green,255
准星设置,Blue,255
准星设置,Alpha,Unknown
准星设置,Alpha Value,255
准星设置,T Style,Unknown
准星设置,Deployed Weapon Gap,Unknown
准星设置,Sniper Width,0.9
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,Unknown
视频设置,Aspect Ratio,Unknown
视频设置,Scaling Mode,Unknown
视频设置,Brightness,Unknown
视频设置,Display Mode,Unknown
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.9
界面 大小,HUD Color,Orange
雷达,Radar Centers The Player,No
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.1
雷达,Radar Map Zoom,0.55
展示皮肤,skins,"['★ Talon Knife | Doppler Phase 1 (Factory New)', '★ Moto Gloves | Boom! (Battle-Scarred)', 'AK-47 | Neon Revolution (Field-Tested)', 'M4A4 | In Living Color (Field-Tested)', 'AWP | Neo-Noir (Battle-Scarred)', 'USP-S | Cortex (Field-Tested)', 'Glock-18 | Vogue (Field-Tested)', 'Desert Eagle | Trigger Discipline (Factory New)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,Razer Viper Ultimate
外设,Keyboard,Razer Huntsman V2 TKL
外设,Headset,Razer BlackShark V2 Pro White
外设,Mousepad,Razer Gigantus V2
