设置,选项名称,值
选手信息,nick,matys
选手信息,Name,Matúš Šimko
选手信息,Birthday,N/A
选手信息,Country,Slovakia
选手信息,Team,Fnatic
鼠标,model,Glorious Model O Wireless
鼠标,DPI,800
鼠标,Sensitivity,0.9
鼠标,eDPI,720
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,4
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,3
准星设置,Size,3.5
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1152x864
视频设置,Aspect Ratio,5:3
视频设置,Scaling Mode,Black Bars
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Butterfly Knife | Marble Fade (Factory New)', '★ Sport Gloves | Nocts (Field-Tested)', 'StatTrak™ AK-47 | Fire Serpent (Field-Tested)', 'StatTrak™ M4A4 | The Emperor (Field-Tested)', 'StatTrak™ Glock-18 | Water Elemental (Field-Tested)', 'USP-S | Stainless (Field-Tested)', 'StatTrak™ Desert Eagle | Mecha Industries (Field-Tested)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,Glorious Model O Wireless
外设,Keyboard,HyperX Alloy Origins Core
外设,Headset,HyperX Cloud II
